order,original,name,title,stories,observation,sha256,taken_exif,width,height,bytes
11,IMG_3741.jpeg,011_productos-catalogo-y-ficha-general.jpeg,Catálogo de productos,SR-HU-07,"Lista de productos y ficha con precio, impuesto, unidad, servicio y estado.",f510351bafdc38832de071f085e51dfb1bf16c411ed7246faa04f80167e24fed,2026:09:08 14:22:19,5712,3213,5008961
12,IMG_3742.jpeg,012_productos-precio-servicios-y-area-impresion.jpeg,Detalle de producto y área de impresión,SR-HU-07;SR-HU-09,"Producto seleccionado con grupo, subgrupo, precio, unidad y área Bebidas.",0f2e9357587c5e93cc5c1a1c49b9c696e96f7d68995678140403549cbbbedfdf,2026:09:08 14:22:37,5712,3213,5069571
13,IMG_3743.jpeg,013_productos-seleccion-grupo.jpeg,Selección de grupo de producto,SR-HU-08,"Categorías comerciales como aguas, baguettes, bebidas y combos.",c162e7101b1a2121bbd991965449484da567d3cc0a030ed6a106552287a250ed,2026:09:08 14:22:46,5712,3213,5097419
14,IMG_3744.jpeg,014_productos-seleccion-subgrupo.jpeg,Selección de subgrupo de producto,SR-HU-08,Subgrupos de tamaño: agua chica y agua grande.,5c2b29567351e0705952346a21513eaceb958b95c6031cbdb05b187f0312537a,2026:09:08 14:22:50,5712,3213,5040788
15,IMG_3745.jpeg,015_productos-alta-subgrupo.jpeg,Alta de subgrupo,SR-HU-08,Subgrupo relacionado con un grupo; lista de tamaños y extras.,e05a38e709b11e0e8f98b36b517b2c8be1384ca5da9511dcea66933a6390b0bf,2026:09:08 14:23:24,5712,3213,4758611
16,IMG_3746.jpeg,016_productos-seleccion-unidad-venta.jpeg,Selección de unidad de venta,SR-HU-04;SR-HU-07,Selector de unidad dentro de la ficha comercial.,05427f0937daf92017ece2abf091920c6d47ea3a17366a3d7333675e4b145a56,2026:09:08 14:23:44,5712,3213,4242601
17,IMG_3747.jpeg,017_recetas-componentes-costeo-y-almacen.jpeg,Editor de receta y almacén de consumo,SR-HU-10;SR-HU-11;SR-HU-12,"Componentes, cantidades, merma, costo, utilidad y relación estación-almacén.",dc2248f05c53c80922e67256e546cbf9ff5ccc6a2c223764ad987ba80d01c902,2026:09:08 14:24:50,5712,3213,5002575
18,IMG_3748.jpeg,018_recetas-seleccion-de-ingredientes.jpeg,Selección de ingrediente para receta,SR-HU-10,Resultados de búsqueda de insumos de fresa para agregar a la receta.,eb831b99a17fb2bd4f1034e61d951cf3422ff396efa2c6014f9539ad4918edfb,2026:09:08 14:25:07,5712,3213,4646686
19,IMG_3749.jpeg,019_recetas-cantidades-costos-y-almacenes.jpeg,Detalle de receta con costos,SR-HU-10;SR-HU-11;SR-HU-12,"Componentes capturados, cantidades, unidad, total y almacenes por estación.",74b9f30cf3e372a18e3e384d1a688b3bbd70941ecef1f91732faee8b173594a8,2026:09:08 14:25:22,5712,3213,5024983
20,IMG_3750.jpeg,020_productos-comentarios-y-componentes-paquete.jpeg,Comentarios y componentes de paquete,SR-HU-13;SR-HU-14,Dos secciones distintas: indicaciones de preparación y productos de un paquete; ambas vacías.,fc5bc432eced6f017df56e300128ac08f2ce95793965bce42df8501ae39cfc11,2026:09:08 14:26:16,5712,3213,5013960
21,IMG_3751.jpeg,021_modificadores-grupos-opciones-y-limites.jpeg,Producto compuesto y modificadores,SR-HU-15,"Grupo de edulcorante con opciones, máximo, secuencia y multiplicación por cantidad.",59151f78d4c981d8263e5a471549409437831514cb44dc1de4526b8a7ebea7fe,2026:09:08 14:26:46,5712,3213,5160893
22,IMG_3752.jpeg,022_navegacion-menu-catalogos-e-insumos.jpeg,Menú de catálogos e insumos,SR-HU-02,"Rutas a unidades, clasificación, grupos, presentaciones e insumos elaborados.",18af1656d9fdbf68d89c2a5846564895a7543b667a30b6be3c8308b5cb881087,2026:09:08 14:30:31,2268,4032,2832861
23,IMG_3753.jpeg,023_productos-prioridad-visual-y-de-impresion.jpeg,Prioridad de grupos,SR-HU-16,Orden de visualización separado del orden de impresión de notas y facturas.,6d3ebe1e2939c216d7bf9d434fe6eddf5a72f4f80a8e5de139b4e57a23fc3033,2026:09:08 14:31:11,5712,3213,4841096
24,IMG_3754.jpeg,024_productos-subgrupos-tamanos-y-extras.jpeg,"Consulta de subgrupos, tamaños y extras",SR-HU-08,"Subgrupos de jugos, licuados, extras y servicio a domicilio.",9ff2719e28209f57c0c37d10f4d83d97e3876e9cfc67719a8b200894c38e66b8,2026:09:08 14:32:14,5712,3213,4861840
25,IMG_3755.jpeg,025_comentarios-asignacion-masiva-por-grupo.jpeg,Asignación o eliminación masiva de comentarios,SR-HU-13,Selección de grupo y acción sobre comentarios; no se ve un resultado ejecutado.,6c9ebe6f3eceb62e0506a046fe848606089feac8cf2b1d600dd7c4ca3edebd29,2026:09:08 14:32:49,5712,3213,4762830
26,IMG_3756.jpeg,026_recetas-captura-masiva-por-productos.jpeg,Captura masiva de recetas,SR-HU-17,Receta con un insumo y selección de productos destino; modo Reemplazar visible.,dd17ca323f3347ae74fd65cd85eb1d8c166649e3fff8564468983d305e8a86ed,2026:09:08 14:34:50,3213,5712,4298038
27,IMG_3757.jpeg,027_almacenes-catalogo-y-asignacion-empresa.jpeg,Catálogo y alta de almacenes,SR-HU-12,"Clave, descripción, tipo y empresa; aparece un almacén general.",ba36521f41a89f45f5bee7f782fcf6dd267d9768d7e8e75c82d6f679984a30e0,2026:09:08 14:35:20,5712,3213,4499894
